U1,A1538685648
U327,A15469418
U328,A3389773360
U329,A3469589500
U330,A4262496040
U331,A363577443
U332,A1747042580
U333,A2458068456
U334,A2316950688
U335,A2694809416
U336,A3643380555
U337,A3676872343
U338,A4151484001
U339,A4168402703
U340,A2345460195
U341,A2291885035
U342,A3191592351
U343,A2074086523
U344,A3365445357
U345,A2416484731
U346,A2360121322
U347,A3826739942
U348,A2081059890
U349,A604530209
U350,A2022308068
U351,A2330978075
U352,A167200370
U353,A3500240032
U354,A2712853779
U355,A3210719423
U356,A3799854455
U357,A988213942
U358,A3866177358
U359,A3041198590
U360,A3622262372
U361,A3282950773
U362,A983894136
U363,A786776836
U364,A1948945052
U365,A127904873
U366,A1295003824
U367,A809834239
U368,A2010045207
U369,A608372256
U370,A1372842685
U371,A1985852583
U372,A571210795
U373,A4118821425
U374,A3799386472
U375,A898918449
U376,A649114603
U377,A1679420385
U378,A23170479
U379,A3434508639
U380,A1072041355
U381,A873272013
U382,A3037654114
U383,A147852768
U384,A3941958556
U385,A2667370728
U386,A1741814612
U387,A1221420614
U388,A351713549
U389,A1008893291
U390,A616227847
U391,A1104038607
U392,A1170938005
U393,A4176403253
U394,A81458678
U395,A2940917694
U396,A3641159022
U397,A1344492095
U398,A2223714757
U399,A67249956
U400,A3770864710
U401,A2496550100
U402,A3986539301
U403,A3118355226
U404,A4136285322
U405,A2127416756
U406,A242262473
U407,A812299615
U408,A4247824186
U409,A1038182690
U410,A2659357596
U411,A3843287866
U412,A256692717
U413,A4133514703
U414,A2560745948
U415,A447504709
U416,A1421630185
U417,A1871580056
U418,A3276463946
U419,A2023976924
U420,A3670434254
U421,A3822987687
U422,A178517662
U423,A3033728418
U424,A4125376571
U425,A1680807465
U426,A1053832375
U427,A1803816912
U428,A3084096535
U429,A3890676452
U430,A4054029300
U431,A479907067
U432,A2381922770
U433,A3833491880
U434,A1107746429
U435,A4138013784
U436,A3616798795
U437,A631446479
U438,A3261632504
U439,A1555879260
U440,A2807567247
U441,A2600681841
U442,A3427263623
U443,A1210853041
U444,A486871070
U445,A599144899
U446,A98054194
U447,A2217177799
U448,A333508463
U449,A3504868122
U450,A1821733300
U451,A3814621161
U452,A3505202339
U453,A2791418962
U454,A1528359455
U455,A2473747678
U456,A4103923906
U457,A3861090052
U458,A964581027
U459,A2630238456
U460,A395811323
U461,A439316726
U462,A3338007773
U463,A2963121670
U464,A2312878118
U465,A694221975
U466,A1615303306
U467,A2774351000
U468,A3391264132
U469,A969572676
U470,A1507678209
U471,A1463808662
U472,A3043278753
U473,A914476369
U474,A1055981550
U475,A2971846635
U476,A2217853337
U477,A1017536864
U478,A1666288434
U479,A1923507186
U480,A2105508317
U481,A2243396544
U482,A2626409021
U483,A1104375072
U484,A2925400415
U485,A1275857085
U486,A3697489067
U487,A3893362486
U488,A1210062900
U489,A1134784132
U490,A2116203935
U491,A3348417635
U492,A2062977016
U493,A708262477
U494,A4190165036
U495,A2766172404
U496,A2763959582
U497,A2677559053
U498,A3811264923
U499,A2928822295
U500,A4030798150
U501,A916547437
U502,A2134808475
U503,A3052191172
U504,A2946269473
U505,A1073821707
U506,A272886293
U507,A4036343234
U508,A2860912043
U509,A988160405
U510,A1160667975
U511,A2501280523
U512,A2199467633
U513,A2260760754
U514,A2501052021
U515,A320000323
U516,A4081761804
U517,A552316934
U518,A630652349
U519,A3972581484
U520,A28806872
U521,A2411451936
U522,A4055395044
U523,A263599897
U524,A306422496
U525,A2187324082
U526,A199379035
U527,A4124005270
U528,A3415673411
U529,A1037260580
U530,A2833011810
U531,A2874765790
U532,A2949537983
U533,A2764881224
U534,A221442949
U535,A1598750229
U536,A3292395061
U537,A299446963
U538,A2761832946
U539,A1386311924
U540,A567820539
U541,A1615717851
U542,A3850128249
U543,A419456233
U544,A1011223331
U545,A336493147
U546,A2690867178
U547,A900897870
U548,A532589341
U549,A883237232
U550,A3492585943
U551,A1711604959
U552,A2722906127
U553,A3459927853
U554,A1541564886
U555,A3626676306
U556,A1123244794
U557,A648931301
U558,A1579613783
U559,A1941314046
U560,A3681459280
U561,A132341149
U562,A2818464367
U563,A570405433
U564,A2660754061
U565,A2483584418
U566,A1233774081
U567,A1227484684
U568,A1221271987
U569,A1452056386
U570,A1525918364
U571,A335269852
U572,A3464554032
U573,A245442083
U574,A1101021964
U575,A2559434877
U576,A533192042
U577,A1749528606
U578,A326930040
U579,A1171363794
U580,A4199616576
U581,A2644859372
U582,A4205646791
U583,A1761058217
U584,A4145252615
U585,A1619040661
U586,A1535643599
U587,A1023717643
U588,A364700925
U589,A2424565945
U590,A1620608449
U591,A1115249498
U592,A1996678705
U593,A41934198
U594,A2700330302
U595,A2888420415
U596,A1832146052
U597,A3172450732
U598,A1433939064
U599,A3833637800
U600,A4070008434
U601,A3410532659
U602,A1540524189
U603,A1462984861
U604,A2914443596
U605,A486162423
U606,A3787931088
U607,A2040340167
U608,A374464774
U609,A1767855106
U610,A1190190812
U611,A2023721073
U612,A1935452377
U613,A97374877
U614,A1707278925
U615,A310296684
U616,A1152125988
U617,A3987610774
U618,A880096064
U619,A4107349498
U620,A1404395751
U621,A1949443459
U622,A45139176
U623,A1748492203
U624,A2878084097
U625,A351313256
U626,A397493741
U627,A3867241412
U628,A240018991
U629,A393817534
U630,A1328697582
U631,A26389537
U632,A2810188071
U633,A1160148526
U634,A3511155378
U635,A1377253602
U636,A3117046697
U637,A4232243965
U638,A1724694030
U639,A2676225924
U640,A981252249
U641,A331502829
U642,A547259551
U643,A881544435
U644,A3680140922
U645,A2500150280
U646,A1757951758
U647,A2325340243
U648,A1107615001
U649,A1474775097
U650,A91139927
U651,A1109825061
U652,A761616937
U653,A4140744216
U654,A3199368063
U655,A1177603447
U656,A2176419410
U657,A2893327845
U658,A3151272434
U659,A3394779937
U660,A3258220935
U661,A203050907
U662,A3930161610
U663,A1735204308
U664,A2191468400
U665,A158531231
U666,A2836886911
U667,A1131940169
U668,A2723513568
U669,A2408246939
U670,A1093568005
U671,A1844741381
U672,A2815688436
U673,A3725766398
U674,A1754474767
U675,A1452633375
U676,A1959500556
U677,A2467706552
U678,A1345896548
U679,A3891396601
U680,A383587770
U681,A3186268838
U682,A3813354209
U683,A4119250454
U684,A1044598291
U685,A1240674478
U686,A555631167
U687,A1076497247
U688,A2979487597
U689,A2823307221
U690,A3693095617
U691,A1122537977
U692,A3979775182
U693,A1952293169
U694,A3071093998
U695,A2916716118
U696,A82610705
U697,A2196432988
U698,A2415400273
U699,A826927178
U700,A3145229913
U701,A73288922
U702,A1339315323
U703,A1821206755
U704,A1491636315
U705,A1169270868
U706,A1289434141
U707,A4122483286
U708,A3436715440
U709,A3257224121
U710,A1568770334
U711,A451317840
U712,A973677184
U713,A1354205322
U714,A3810123859
U715,A2980440229
U716,A439366650
U717,A1788141082
U718,A3279257076
U719,A66260844
U720,A1662308136
U721,A4236087068
U722,A1859726822
U723,A4246728549
U724,A2329755329
U725,A589091561
U726,A2461816241
U727,A763694881
U728,A2633145288
U729,A1772941037
U730,A2298623317
U731,A3903245015
U732,A500857618
U733,A2419536569
U734,A3294080054
U735,A3663559651
U736,A1545906782
U737,A2448969855
U738,A2787327616
U739,A3182595870
U740,A3311830643
U741,A2193664477
U742,A3368619983
U743,A3555641932
U744,A1130900979
U745,A3406478396
U746,A1301544506
U747,A5574997
U748,A2458053629
U749,A1651844876
U750,A673356819
U751,A2399006053
U752,A197704997
U753,A828445240
U754,A3169024744
U755,A381155306
U756,A871177088
U757,A1954960931
U758,A1287353407
U759,A4026562594
U760,A423256429
U761,A1774252774
U762,A2721011967
U763,A3838242688
U764,A3061307316
U765,A4079159663
U766,A531967718
U767,A187910813
U768,A204568422
U769,A3290663177
U770,A1614494381
U771,A2841225823
U772,A4175659797
U773,A689961313
U774,A2194245277
U775,A2326237915
U776,A1072368701
U777,A1168909050
U778,A496936219
U779,A2489551967
U780,A985245482
U781,A280410144
U782,A3410667855
U783,A3368369538
U784,A1669178531
U785,A4098096768
U786,A3657335672
U787,A3365349866
U788,A613747359
U789,A1044078286
U790,A545289514
U791,A14411090
U792,A4272342830
U793,A2129920319
U794,A3041705231
U795,A3221698850
U796,A990496397
U797,A2231607096
U798,A1842145373
U799,A4101515763
U800,A3261647162
U801,A2824647204
U802,A3521411736
U803,A581584739
U804,A458848274
U805,A1336647234
U806,A3956887319
U807,A4024053152
U808,A3188496109
U809,A1575376083
U810,A2197210107
U811,A1027766032
U812,A840865386
U813,A2243065045
U814,A3357905099
U815,A2342474285
U816,A3162849104
U817,A2796038131
U818,A458097400
U819,A2328965162
U820,A4276320842
U821,A2536109970
U822,A1482478167
U823,A403467810
