shortname,longname,refname,betweenness
U524,A306422496,306422496,0
U526,A199379035,199379035,0
U565,A2483584418,2483584418,0
U566,A1233774081,1233774081,0
U571,A335269852,335269852,0
U587,A1023717643,1023717643,0
U588,A364700925,364700925,0
U590,A1620608449,1620608449,0
U596,A1832146052,1832146052,0
U602,A1540524189,1540524189,0
U608,A374464774,374464774,0
U611,A2023721073,2023721073,0
U619,A4107349498,4107349498,0
U644,A3680140922,3680140922,0
U665,A158531231,158531231,0
U673,A3725766398,3725766398,0
U699,A826927178,826927178,0
U700,A3145229913,3145229913,0
U723,A4246728549,4246728549,0
U724,A2329755329,2329755329,0
U735,A3663559651,3663559651,0
U737,A2448969855,2448969855,0
U749,A1651844876,1651844876,0
U761,A1774252774,1774252774,0
U766,A531967718,531967718,0
U767,A187910813,187910813,0
U769,A3290663177,3290663177,0
U770,A1614494381,1614494381,0
U779,A2489551967,2489551967,0
U781,A280410144,280410144,0
U789,A1044078286,1044078286,0
U797,A2231607096,2231607096,0
U798,A1842145373,1842145373,0
U799,A4101515763,4101515763,0
U813,A2243065045,2243065045,0
U814,A3357905099,3357905099,0
