user,event
A111840914,E1532377761
A111840914,E1600413013
A111840914,E2529072432
A120053518,E1600413013
A120053518,E3219059524
A120053518,E3118974631
A120053518,E3404987729
A120053518,E2529072432
A120053518,E861118590
A121528378,E130281276
A121528378,E1674888438
A121528378,E897667289
A121856257,E232587843
A122826603,E2357122965
A122826603,E210121672
A123290209,E939818461
A123290209,E1887085024
A127904873,E1600413013
A128723876,E3275948662
A128723876,E642644408
A128723876,E3996872922
A128723876,E3877083150
A128723876,E1476388256
A132341149,E952519340
A132341149,E1844176380
A135706634,E1395574268
A135706634,E4125420656
A135706634,E966971643
A139210489,E1485887263
A139210489,E666088517
A140576550,E681905393
A143093592,E705138890
A147852768,E2865762984
A147852768,E1128274822
A147852768,E766157199
A147852768,E747845900
A147852768,E3643346333
A147852768,E1336550405
A156079457,E4181743367
A156584666,E2114371180
A156603823,E4244463632
A158531231,E719337372
A158531231,E2763790767
A160071273,E3509100603
A166685992,E1448086840
A166685992,E326664129
A166685992,E2429379784
A167200370,E2379850649
A168764910,E2153037761
A171842881,E3632072502
A171842881,E797638314
A174994783,E2188393190
A178517662,E529900443
A178517662,E4267868521
A178517662,E602394192
A180779799,E42193426
A183275855,E2115491671
A184140061,E3643004825
A184140061,E3339141512
A184140061,E3793452317
A185422302,E1989853635
A185422302,E2219144892
A185422302,E3951904788
A187910813,E955398943
A193113796,E1179584066
A193158441,E2418142030
A193158441,E3849306291
A193920233,E2556887095
A194257626,E51230207
A195973264,E3388135408
A197344023,E955398943
A197344023,E3276213471
A197344023,E642644408
A197704997,E2427264930
A199120737,E2989906553
A199120737,E959243663
A199379035,E2529072432
A199379035,E955398943
A203050907,E2529072432
A203050907,E2763790767
A203050907,E1610171038
A203050907,E1797828094
A203050907,E1699663431
A203050907,E861118590
A203050907,E3315486330
A203050907,E2860418664
A203456139,E2746202243
A203456139,E2989846146
A203456139,E2153037761
A204568422,E2363782301
A206173756,E11608112
A206173756,E239276659
A210296799,E899234866
A210296799,E213754032
A210296799,E4139300008
A210626346,E3028859957
A217443195,E311120320
A220184636,E1421267283
A221442949,E2529072432
A221442949,E264366149
A221442949,E1390707377
A221442949,E1033318499
A221442949,E1600413013
A221442949,E986099040
A221442949,E1532377761
A221442949,E955398943
A223870698,E1488068589
A236194065,E1205670273
A238446352,E2764233627
A240018991,E2073609284
A240521211,E3123265999
A240521211,E232015242
A240521211,E990256291
A242262473,E2130616732
A243893094,E445012721
A243893094,E386229329
A244644122,E3509100603
A244644122,E152418051
A245442083,E907302600
A246547106,E4252420545
A247769793,E401945277
A247769793,E1336517851
A247769793,E1768663573
A248375618,E2824024899
A248805577,E2498491194
A249577815,E1990647154
A249577815,E1676394036
A249577815,E3802296711
A249918369,E326664129
A252627634,E753115138
A254306319,E371746452
A255311196,E1455342959
A256692717,E2130616732
A256692717,E2643833505
A261990895,E745914541
A261990895,E3111155015
A261990895,E2270458671
A261990895,E1306613841
A261990895,E125067550
A261990895,E3542075399
A261990895,E2815171271
A261990895,E4101549335
A261990895,E1630022509
A261990895,E3320505228
A263599897,E719337372
A265142861,E2901172638
A265142861,E1361358532
A265142861,E1564617242
A265142861,E4099353109
A265682801,E3634298859
A265682801,E2102453106
A265682801,E2415873572
A265682801,E4002891827
A265682801,E1310511988
A265682801,E751749751
A265682801,E1853948415
A265682801,E4238847438
A265682801,E2565498979
A267902048,E910169576
A272165392,E501560870
A272886293,E955398943
A272886293,E1390707377
A272886293,E2529072432
A272886293,E1600413013
A272886293,E3655295959
A272886293,E2237504401
A275264384,E3915796357
A275264384,E3216974136
A275264384,E1306257783
A275264384,E4014695040
A275264384,E1341191313
A275264384,E762391043
A275264384,E181219102
A275264384,E973265170
A279323206,E3776957253
A279323206,E2149464820
A279699155,E738179988
A280410144,E1600413013
A280410144,E3735036412
A280410144,E3275248026
A280995052,E3361245766
A282487230,E2407176743
A282487230,E3843341515
A282487230,E4128790213
A282487230,E3207630269
A282914818,E1816813281
A283716061,E3849306291
A286293491,E3171704410
A292322045,E4140154751
A292529766,E3712732153
A294167146,E4041609284
A296126900,E955398943
A296271448,E342284187
A299446963,E952519340
A304983697,E1133385189
A304983697,E1241270051
A304983697,E3158637961
A304983697,E2828912555
A305160382,E2428305873
A305160382,E1267918307
A305160382,E1404500601
A306153925,E2477995738
A306422496,E2529072432
A306422496,E1600413013
A306422496,E955398943
A306422496,E771676713
A306422496,E1361307272
A306422496,E602394192
A307071731,E1076364848
A307271704,E3498692897
A309131167,E955398943
A310296684,E635799819
A310296684,E1841503354
A310296684,E154173769
A310846555,E126497153
A314484928,E2917794701
A320000323,E2963760335
A321386359,E645163767
A322814221,E4105510328
A326930040,E973619334
A326930040,E678242184
A327414596,E2133183406
A327414596,E1600413013
A327414596,E2529072432
A327414596,E1361307272
A327414596,E2039358442
A328922601,E1262217378
A331502829,E2442660214
A331982192,E3776957253
A333508463,E1076364848
A335269852,E1205670273
A335269852,E3972241879
A336493147,E1071371108
A336493147,E221202458
A336493147,E100652122
A336493147,E3856450292
A336493147,E2281874957
A336493147,E1173255704
A338395830,E938161513
A338395830,E2764878573
A341641838,E2539026679
A344313409,E2303466552
A344906444,E1600413013
A344906444,E2173952737
A350964414,E3862634099
A350964414,E655157595
A350964414,E1749797086
A350964414,E3150166466
A351313256,E2490233992
A351313256,E3710884082
A351313256,E460112184
A351713549,E1143203761
A351801772,E2101852818
A351801772,E1709219406
A351801772,E3382118918
A352769719,E2237079226
A352769719,E955398943
A352769719,E950733415
A352769719,E4259189014
A352769719,E3276213471
A354026608,E3515877913
A354974889,E1997474791
A358368837,E3835917768
A358368837,E1114350408
A358368837,E1110231970
A358368837,E3418415418
A358368837,E1769487166
A358368837,E1699663431
A363257522,E4089322861
A363577443,E355160690
A364700925,E4098955585
A364700925,E4194316975
A364700925,E1926323783
A364700925,E1343845939
A364700925,E3276213471
A366365683,E613942852
A366365683,E2843312746
A366365683,E1294433853
A366365683,E2490258514
A373631588,E641950279
A374464774,E1228413502
A374950100,E2606923091
A374950100,E1834446103
A374950100,E3216974136
A377835263,E2639332741
A379327893,E617227257
A379327893,E1631952362
A379327893,E1105080022
A381155306,E1488068589
A382550204,E2036720107
A383523902,E1528500344
A383587770,E3509100603
A384269001,E2152454837
A384269001,E2409266493
A384932005,E821546192
A386145959,E937369584
A386145959,E804483110
A386145959,E2715282469
A392706219,E1517264651
A392706219,E3581275802
A392706219,E1525503113
A393035612,E645128809
A393817534,E638892748
A395305791,E3139200527
A395305791,E1785998532
A395811323,E1076364848
A396929851,E3613872232
A397493741,E1390707377
A398134674,E910169576
A403467810,E2498491194
A403467810,E910169576
A411205694,E2498491194
A411622998,E3440289078
A413292015,E2522645669
A413881487,E2580858981
A414832767,E4125532989
A419456233,E3809972731
A419456233,E2488820817
A419456233,E741936389
A419456233,E2989906553
A419456233,E3096327312
A419456233,E4198728308
A419778061,E2529072432
A422002690,E2588804869
A422002690,E3119357029
A422002690,E1850381877
A422699736,E955398943
A423256429,E243898074
A427369081,E750506418
A427471768,E2039358442
A427471768,E771676713
A429489211,E633659090
A429489211,E907302600
A431015679,E3934491209
A436392678,E1151525474
A437050836,E1346069916
A439279583,E3808625328
A439279583,E1506044723
A439316726,E4227005710
A439366650,E952519340
A439507113,E3288255289
A441103517,E955398943
A441103517,E2529072432
A441103517,E4193610911
A441391794,E1076364848
A443655774,E1134192019
A443931185,E965748273
A443931185,E2454980175
A445442743,E2936735895
A447244169,E2493324415
A447244169,E734267487
A447244169,E3176850745
A447244169,E2596086831
A447504709,E612496662
A451317840,E1185540477
A453809966,E719337372
A458097400,E3651171375
A458097400,E3034533222
A458097400,E1390983489
A458389001,E74074378
A458389001,E1163018914
A458848274,E612496662
A460608021,E997929928
A460608021,E1969689654
A460608021,E1835656053
A460608021,E2018733266
A460608021,E2032864503
A460608021,E2251754801
A460608021,E2858902069
A460608021,E985580109
A460608021,E830994161
A460608021,E3853166763
A460608021,E2914997261
A460608021,E3254529235
A460608021,E4250931903
A460608021,E2742780288
A460608021,E3764071536
A460608021,E1534769877
A460608021,E2944185408
A460608021,E4058319046
A466698547,E2762356638
A466698547,E3118576636
A467001379,E3968107646
A469837401,E92434189
A475620820,E2052102737
A476865227,E488329448
A479907067,E1636589484
A481236042,E1047810173
A483332100,E3084168587
A483332100,E2599906667
A483332100,E407288007
A486162423,E2130616732
A486162423,E633659090
A486162423,E907302600
A486162423,E2643833505
A486871070,E3480624055
A486884397,E1065552764
A486884397,E915403718
A486884397,E2748209109
A488389895,E1488068589
A489170488,E3345858125
A490500468,E353933726
A491263047,E3395117104
A491263047,E1000481836
A491792092,E955398943
A491792092,E4137553369
A492612031,E126225732
A495379217,E3611379821
A496936219,E952519340
A499079668,E327075228
A500857618,E889355158
A507847098,E2529072432
A508282809,E98978060
A508282809,E919381911
A508837021,E1045343006
A515567373,E3619266504
A516110926,E3119717504
A516110926,E416330287
A516110926,E3491186803
A516110926,E1943679456
A516110926,E2528255053
A516110926,E4153748211
A516110926,E400433753
A516110926,E456705289
A516110926,E1342847040
A516110926,E2067723665
A516110926,E2977586904
A516110926,E3188235554
A516110926,E1304281836
A516110926,E1771863286
A516110926,E2803416473
A516110926,E990580500
A516110926,E2114371180
A516110926,E3030445347
A516110926,E689023473
A516353916,E1076364848
A516841937,E3170422433
A517270916,E3477624372
A517270916,E2962436572
A517357553,E3582327628
A522776668,E1371280659
A522776668,E2816742760
A527523423,E1974374931
A528218683,E2498491194
A528289771,E968459715
A528289771,E2442660214
A528289771,E2713053749
A528289771,E3670952162
A528289771,E2073609284
A528810329,E2563575913
A531662584,E3403115736
A531967718,E1532377761
A531967718,E955398943
A531967718,E2529072432
A532589341,E639862177
A533051511,E952519340
A533192042,E740269154
A535350558,E3632072502
A540360566,E628621130
A544449933,E2529072432
A545289514,E926605391
A547259551,E3503491290
A550625442,E3344442885
A551538117,E2153037761
A552316934,E4198728308
A555384690,E53057326
A555631167,E1426337764
A564641393,E2802832059
A564641393,E200612846
A564641393,E1332759137
A567534910,E1757362667
A567820539,E1717235731
A567820539,E1342732412
A567820539,E2485000087
A568409249,E1600413013
A569536605,E4253986436
A569536605,E1488068589
A569536605,E2325542576
A569536605,E1639958590
A569826712,E2529072432
A570405433,E2013891492
A570405433,E2321862754
A571210795,E1409394408
A571210795,E4198728308
A571415268,E1782440994
A571415268,E2970567256
A576776993,E3874696273
A576776993,E3417435200
A576776993,E1204268586
A580008340,E952519340
A581584739,E1844176380
A584188387,E1605098821
A584188387,E1726708048
A584188387,E887203538
A588924229,E1426337764
A588924229,E3161734222
A588924229,E3982727529
A589091561,E2096532900
A589199943,E719337372
A591781953,E74229557
A593799836,E2695471827
A596044827,E347682208
A599144899,E1532377761
A601094182,E3171398290
A601094182,E1463875601
A601094182,E2589273566
A602317951,E743289246
A602551909,E1076364848
A603763318,E639862177
A604530209,E771676713
A604530209,E1361307272
A604530209,E955398943
A604530209,E2529072432
A605378672,E2168006553
A605903903,E955398943
A608310969,E1532377761
A608310969,E2529072432
A608310969,E955398943
A608372256,E2763790767
A609331956,E3538439402
A609630180,E328896398
A610133863,E2153037761
A610133863,E3982727529
A610133863,E2793371951
A610133863,E3713495962
A612098420,E2097449752
A613604753,E196335814
A613747359,E1332759137
A613747359,E741936389
A614599699,E383607907
A614599699,E4203627753
A616227847,E4198399270
A616227847,E1900273727
A618927177,E1640004842
A618927177,E3538983527
A618927177,E2749997868
A620032149,E3860040039
A620032149,E872036582
A620032149,E2259070037
A627948360,E955398943
A630652349,E1406344701
A631446479,E1206747600
A635462786,E613942852
A635462786,E2872892494
A635462786,E3217775401
A637505307,E2824096896
A639250885,E2424637456
A639409951,E3277893314
A641678389,E2531947768
A641836752,E3868530854
A641836752,E101334227
A642317092,E45718516
A642317092,E678132679
A642317092,E4211366080
A645414373,E473346989
A648931301,E1190152428
A649114603,E2476460170
A649114603,E1672084151
A651240040,E1361307272
A651240040,E2529072432
A651258472,E2620915673
A653909548,E3831365201
A653909548,E1801766962
A653909548,E931943556
A653909548,E3444116390
A653909548,E578836029
A653909548,E1602727924
A653909548,E3068673644
A653909548,E3018072372
A653909548,E3270799775
A655721325,E4181313745
A659158929,E1578063348
A659447721,E1669597962
A659725808,E955398943
A659725808,E2822187055
A661151794,E1326595643
A661151794,E1043712341
A661151794,E3780075220
A661151794,E2268576153
A661151794,E3881506984
A661656054,E527070251
A661656054,E3630632197
A661656054,E3106536799
A666534021,E3413747696
A673356819,E4140154751
A673356819,E1914791953
A677048573,E889355158
A677048573,E757019021
A677234912,E991427858
A680402144,E2935869426
A681010476,E1597380017
A681010476,E152418051
A681010476,E1528500344
A681315287,E3413747696
A682721107,E955398943
A682721107,E2529072432
A686015101,E2345968214
A686151443,E3676836672
A687313787,E1255629030
A687313787,E1212947698
A687313787,E1488068589
A687313787,E2415873572
A689225317,E559618821
A689961313,E4063842421
A691831024,E1902753965
A691831024,E1667438718
A694221975,E1141864640
A694709965,E2518430453
A699877746,E202787484
A699877746,E2442674090
A699877746,E1072889885
A700438783,E1076364848
A700438783,E268233790
A700438783,E3103100779
A700438783,E952519340
A700438783,E3776957253
A700438783,E2149464820
A700438783,E1203717384
A708073241,E754337333
A708262477,E2142755647
A708262477,E955398943
A708262477,E1600413013
A709445936,E581011119
A712040216,E1076364848
A715159059,E86502595
A722675569,E4208530995
A723110955,E1515297223
A723110955,E102026311
A724483958,E1268441808
A724483958,E2311647821
A724978354,E2415873572
A724978354,E2046473726
A724978354,E2795929444
A724978354,E3771702746
A724978354,E1784460112
A724978354,E4145684767
A724978354,E770278298
A724978354,E2249176184
A724978354,E2357122965
A725162516,E3842788897
A725162516,E1298679001
A725162516,E2579869852
A728332848,E388117170
A732078356,E1468984003
A732078356,E1133783494
A732078356,E2306874322
A732078356,E2340895720
A732078356,E1805938462
A734292380,E2806189562
A736262792,E843844488
A736262792,E1205670273
A738324703,E3677852886
A738324703,E3855652876
A738324703,E34564349
A738324703,E38825896
A738324703,E3084875554
A738324703,E162332756
A738324703,E667664881
A738525400,E3110363670
A738525400,E1644971908
A738525400,E1036106136
A743008535,E3461255917
A743802819,E3385943756
A747578727,E1812117472
A749467696,E3022508755
A754938428,E4128714692
A761616937,E633659090
A761616937,E955398943
A761616937,E907302600
A761616937,E2529072432
A761616937,E2643833505
A762911677,E3658522039
A763143562,E2107263424
A763694881,E3776957253
A765240064,E3809205963
A769376177,E4166625784
A770526360,E1076364848
A770526360,E516796945
A776020237,E952519340
A777634122,E287440303
A785251375,E2264041858
A786776836,E681990144
A786776836,E3830416827
A792037916,E3830416827
A792037916,E3875231517
A792037916,E2279381833
A793834125,E955398943
A793842953,E2380928091
A793842953,E3528426861
A793842953,E3914547760
A794355051,E2381844770
A803166736,E1076364848
A803166736,E1951611940
A803991005,E859794757
A809834239,E1527128646
A809834239,E1205670273
A810608905,E2113532094
A810608905,E776070223
A811791433,E1598694827
A812299615,E1205670273
A814715283,E1783683714
A818241254,E2608603914
A818504714,E326664129
A825875823,E221202458
A825875823,E807481523
A826927178,E3648914854
A826927178,E2529072432
A826927178,E221202458
A826927178,E1517488130
A826927178,E1689486051
A826927178,E1600413013
A828445240,E1876951633
A830686203,E2186351621
A830686203,E3341857073
A830686203,E3595722243
A830686203,E3173523505
A836256116,E3005548418
A836628838,E834360181
A836628838,E2153037761
A840865386,E1973916091
A840865386,E378308819
A840865386,E616825218
A840865386,E546889678
A840865386,E3126631984
A840865386,E2998372996
A842198355,E559618821
A843843832,E1761619035
A848363602,E2030801280
A848363602,E588161010
A848363602,E3395117104
A848730816,E1228296357
A853658665,E661619801
A863771353,E633272737
A866032649,E1561372104
A866032649,E1229195202
A866032649,E1607266075
A866032649,E816912378
A869017322,E1607711017
A871177088,E1589137785
A871177088,E1922203779
A871177088,E3480624055
A873272013,E3404987729
A875145825,E1471140446
A875823959,E3767960965
A875823959,E2224153099
A875823959,E1751377277
A875823959,E3035280807
A876103013,E3619281406
A876103013,E4153312619
A876103013,E3166241555
A880096064,E3399301092
A881544435,E3503491290
A882525479,E4194316975
A883237232,E2575303578
A887085722,E2529072432
A891035674,E4220792229
A893322374,E101017987
A893322374,E176471937
A895925498,E2643833505
A895925498,E955398943
A895925498,E2130616732
A895925498,E771676713
A895967408,E1010067902
A898918449,E3194641622
A900679620,E1816813281
A900897870,E825378558
A900897870,E3598553657
A903486144,E1628041141
A903486144,E2614611034
A904520689,E1313195291
A905852095,E1390707377
A905852095,E1600413013
A905852095,E714391510
A905852095,E719337372
A905852095,E1532377761
A905852095,E2529072432
A905852095,E955398943
A906981127,E741936389
A910947719,E807650421
A910947719,E1916422039
A910947719,E779051730
A910947719,E3272550779
A912476748,E2790605371
A912476748,E2683913641
A913235409,E955398943
A914476369,E1300718667
A915098649,E2498491194
A916547437,E2549322104
A916547437,E1270020700
A917421982,E1776393554
A925172794,E2828969498
A931677473,E3418014649
A931677473,E700041279
A932480867,E3116418543
A932543338,E2223895704
A932543338,E2017884656
A934187073,E909491317
A934187073,E4000643494
A934187073,E876692516
A934187073,E4248391618
A943483502,E1972417022
A947750317,E2153037761
A948275186,E1672427463
A959300591,E3267347122
A962338748,E3851466541
A964581027,E2611696870
A964607716,E2398192028
A964607716,E152418051
A965181412,E2020714090
A967361915,E1810772954
A967988763,E2434532267
A967988763,E3372609211
A969572676,E910169576
A971079958,E1191393757
A971079958,E1596190412
A973677184,E256643979
A980272932,E1460884517
A980272932,E2848205164
A980272932,E1077498346
A981252249,E1370289455
A983894136,E1600413013
A983894136,E3712976999
A983894136,E2802832059
A983894136,E955398943
A985245482,E353933726
A985547042,E1902753965
A986039272,E1361307272
A986039272,E955398943
A986039272,E771676713
A986039272,E2529072432
A987701123,E2844145532
A988160405,E1816813281
A988160405,E1203717384
A988213942,E907302600
A988213942,E797638314
A988213942,E2039358442
A990116823,E2020531758
A990116823,E3754239356
A990116823,E1733693317
A990496397,E3838044081
A995603012,E3006255100
A995603012,E134372956
A996222490,E290465119
A996222490,E1437816019
A996222490,E3980841936
A1000293064,E3429508261
A1006838695,E1896310801
A1006838695,E3480624055
A1008893291,E1356178708
A1011223331,E447738506
A1016040879,E1203717384
A1016040879,E3103100779
A1016099896,E3499428374
A1016099896,E4058829330
A1016099896,E1401946527
A1017178142,E4243588081
A1017178142,E3764710330
A1017536864,E2805037878
A1017536864,E3499428374
A1017536864,E199858305
A1017536864,E898889852
A1017536864,E3150441220
A1017536864,E2731716338
A1017536864,E1699663431
A1018886228,E602394192
A1018886228,E141747067
A1018886228,E955398943
A1018886228,E1600413013
A1018886228,E2529072432
A1018886228,E2520169151
A1018886228,E2610494844
A1023714879,E3302719635
A1023717643,E955398943
A1023717643,E719337372
A1023717643,E1390707377
A1023717643,E2529072432
A1023717643,E1532377761
A1025593498,E3965376459
A1027250316,E2824096896
A1027766032,E1611840162
A1030441254,E3698731704
A1030441254,E3319071521
A1030441254,E2743813328
A1030441254,E104607440
A1030441254,E3874363313
A1030441254,E727714452
A1037260580,E3849306291
A1038182690,E3005193781
A1038432983,E1145694713
A1038432983,E3106649251
A1039126403,E1076364848
A1044078286,E2529072432
A1044598291,E3103100779
A1044598291,E2149464820
A1044598291,E952519340
A1044598291,E1203717384
A1044598291,E1076364848
A1044598291,E1816813281
A1047741032,E3506737502
A1048933817,E910169576
A1053832375,E1600413013
A1055981550,E1076364848
A1058920791,E3353891431
A1060557660,E2870889809
A1060557660,E3925512770
A1060747655,E1180987071
A1060747655,E2677849552
A1061545438,E2013513606
A1063337028,E3273736995
A1063337028,E2181144698
A1063337028,E1488068589
A1063393664,E1332759137
A1066906993,E2922254733
A1067164735,E449812514
A1067164735,E1986487861
A1067164735,E3213813029
A1067164735,E2657070627
A1067164735,E1094725860
A1067164735,E1344083815
A1067164735,E3707599484
A1067164735,E1701861494
A1067164735,E1944950450
A1067164735,E73512801
A1069507870,E3509100603
A1071319145,E3601196821
A1071319145,E2071866215
A1072041355,E1731351853
A1072368701,E110357109
A1073821707,E861118590
A1073831349,E1462428678
A1075126714,E2091251917
A1075126714,E866512763
A1075126714,E1343107637
A1075126714,E4013025273
A1075126714,E530014408
A1075126714,E3986920873
A1075126714,E1669604733
A1075126714,E3542590909
A1075126714,E404584045
A1075126714,E3441655380
A1075126714,E1456576726
A1075126714,E633572331
A1075375005,E1243481310
A1075504486,E2153037761
A1075504486,E82114475
A1076497247,E3427445292
A1076497247,E2876154686
A1079339663,E4273169880
A1079339663,E2611645010
A1079339663,E2307226742
A1079339663,E1369208954
A1080002133,E1087635781
A1085794659,E889795193
A1085794659,E968240954
A1085794659,E3637245518
A1090447281,E3413747696
A1091746693,E1096627389
A1093568005,E1675237338
A1101021964,E955398943
A1101021964,E1600413013
A1101602207,E3277640596
A1104038607,E939765972
A1104375072,E1896349766
A1107615001,E1896664975
A1107615001,E251657645
A1107615001,E3078061160
A1107746429,E1205670273
A1107746429,E1370824124
A1108471961,E2814929505
A1109682681,E2093319113
A1109682681,E2782403445
A1109825061,E486982721
A1109967945,E1953216013
A1114094430,E3744997604
A1115244043,E3530385333
A1115244043,E2175816510
A1115249498,E332209679
A1115249498,E739705932
A1115249498,E401976348
A1115249498,E939064991
A1115249498,E2571012976
A1116289197,E3984337495
A1117272184,E3487833744
A1117272184,E2663939214
A1117272184,E1146909088
A1117272184,E4186433927
A1120323401,E1109129592
A1122537977,E1177314523
A1123244794,E1844176380
A1123244794,E1816813281
A1123831146,E2790605371
A1123831146,E152418051
A1126868438,E1170338316
A1126868438,E915403718
A1126868438,E1829799030
A1127657981,E1816813281
A1130900979,E4159897186
A1130967213,E2153037761
A1131940169,E952519340
A1131940169,E1076364848
A1132746796,E2413506174
A1132746796,E1267093350
A1132746796,E2114371180
A1134784132,E542538548
A1143069903,E1652875579
A1143069903,E2093319113
A1144485498,E1448086840
A1148170980,E952519340
A1150230846,E3951957899
A1150230846,E1294755971
A1150230846,E1645204489
A1150230846,E603768826
A1150230846,E363096366
A1150230846,E2895178379
A1150601139,E3831661369
A1150601139,E96890078
A1150601139,E1908645599
A1150601139,E2718812266
A1152125988,E1820029797
A1152125988,E4125420656
A1152125988,E966971643
A1155485546,E2498491194
A1155485546,E1816813281
A1157924193,E700247942
A1159947871,E3173314627
A1160148526,E2518909170
A1160148526,E3488082754
A1160667975,E3849306291
A1160667975,E952519340
A1164338332,E2917794701
A1166204486,E622003251
A1166204486,E4223848259
A1168909050,E152418051
A1168909050,E4125420656
A1168909050,E740269154
A1169270868,E2585193676
A1169783448,E1205670273
A1170938005,E1180987071
A1170938005,E569253671
A1171363794,E1521864785
A1171363794,E3281475758
A1176550521,E2130616732
A1177603447,E1341096506
A1178274219,E3980181155
A1184737011,E3920531792
A1184737011,E1852872937
A1184895977,E815371089
A1190190812,E4244463632
A1191714842,E1354053551
A1191714842,E140441656
A1195601618,E2444024386
A1197154185,E3383063101
A1210062900,E2311007113
A1210062900,E4058829330
A1210853041,E1356764145
A1213367737,E1737420203
A1213744330,E1955298811
A1214006960,E4273083332
A1217122759,E910169576
A1221271987,E2914345387
A1221420614,E899213418
A1221420614,E2278755941
A1221420614,E1520335024
A1221420614,E2053952798
A1223566187,E1556245473
A1223566187,E610652577
A1227446685,E4028072926
A1227484684,E2643833505
A1228133573,E952519340
A1230559341,E861118590
A1232503863,E1076364848
A1232677153,E3141008702
A1232677153,E834632568
A1232677153,E1975461401
A1232677153,E2287170527
A1232677153,E960296146
A1232677153,E3614248848
A1232677153,E636474096
A1232677153,E601084101
A1232677153,E3120788322
A1232677153,E2022854950
A1232677153,E1640673752
A1232677153,E2129255857
A1232677153,E1764411835
A1232677153,E2724269698
A1232677153,E3549479498
A1233774081,E955398943
A1234792409,E1294433853
A1234792409,E580186719
A1235578437,E2746848613
A1236336671,E1076364848
A1236336671,E1816813281
A1239364869,E2824096896
A1240674478,E2977770201
A1258447015,E1769089355
A1264179509,E228340462
A1267593079,E1589820024
A1267593079,E2804749662
A1268093476,E1138326567
A1269478831,E4231641706
A1269478831,E2153037761
A1275857085,E1832462541
A1280283349,E19658160
A1287353407,E1064770050
A1287353407,E1068825763
A1287353407,E1972854120
A1287353407,E2727714216
A1287850161,E45718516
A1287850161,E3335267883
A1287950172,E1269035551
A1289232847,E3021192688
A1289434141,E1650204537
A1290399197,E1080023839
A1292184871,E486447403
A1292417817,E1212947698
A1295003824,E3761092488
A1296007357,E2153037761
A1296420014,E2009645483
A1296420014,E1209358269
A1298546667,E2115491671
A1299595690,E1600413013
A1299595690,E955398943
A1301544506,E955398943
A1301945337,E2073609284
A1301945337,E2498491194
A1301945337,E3950589515
A1301945337,E1451401793
A1302145719,E1205670273
A1304321680,E2529072432
A1304554072,E2415319492
A1304554072,E3045891165
A1308650192,E1771863286
A1309915074,E1145694713
A1309915074,E3106649251
A1309915074,E1711316424
A1312400822,E4013357208
A1313492534,E2452904679
A1315208123,E3565166403
A1315208123,E1445028465
A1315208123,E955398943
A1315208123,E3938809089
A1315208123,E1532377761
A1315208123,E522741694
A1315208123,E2529072432
A1315208123,E3875231517
A1318722285,E986099040
A1320034490,E641427702
A1320099877,E3854862695
A1320099877,E13857128
A1323529412,E4064214056
A1328287907,E2662063526
A1328287907,E2011880656
A1328697582,E553125617
